Date,Close
2017-04-10,62.48
2017-04-11,61.74
2017-04-12,59.37
2017-04-13,60.8
2017-04-17,60.29
2017-04-18,60.05
2017-04-19,61.1
2017-04-20,60.5
2017-04-21,61.12
2017-04-24,61.61
2017-04-25,62.76
2017-04-26,62.03
2017-04-27,61.73
2017-04-28,62.81
2017-05-01,64.57
2017-05-02,63.78
2017-05-03,62.2
2017-05-04,59.09
2017-05-05,61.67
2017-05-08,61.44
2017-05-09,64.25
2017-05-10,65.04
2017-05-11,64.62
2017-05-12,64.96
2017-05-15,63.18
2017-05-16,63.4
2017-05-17,61.22
2017-05-18,62.61
2017-05-19,62.17
2017-05-22,62.07
2017-05-23,60.77
2017-05-24,62.04
2017-05-25,63.37
2017-05-26,65.03
2017-05-30,67.02
2017-05-31,68.2
2017-06-01,68.07
2017-06-02,67.97
2017-06-05,69.46
2017-06-06,70.57
2017-06-07,71.93
2017-06-08,74
2017-06-09,71.46
2017-06-12,71.8
2017-06-13,75.19
2017-06-14,76.13
2017-06-15,75.07
2017-06-16,74.28
2017-06-19,73.96
2017-06-20,74.45
2017-06-21,75.28
2017-06-22,76.52
2017-06-23,76.69
2017-06-26,75.5
2017-06-27,72.47
2017-06-28,74.25
2017-06-29,72.15
2017-06-30,72.32
2017-07-03,70.52
2017-07-05,65.42
2017-07-06,61.77
2017-07-07,62.64
2017-07-10,63.21
2017-07-11,65.44
2017-07-12,65.9
2017-07-13,64.68
2017-07-14,65.56
2017-07-17,63.91
2017-07-18,65.65
2017-07-19,65.05
2017-07-20,65.98
2017-07-21,65.68
2017-07-24,68.5
2017-07-25,67.92
2017-07-26,68.77
2017-07-27,66.89
2017-07-28,67.01
2017-07-31,64.69
2017-08-01,63.91
2017-08-02,65.18
2017-08-03,69.42
2017-08-04,71.38
2017-08-07,71.03
2017-08-08,73.04
2017-08-09,72.71
2017-08-10,71.08
2017-08-11,71.57
2017-08-14,72.76
2017-08-15,72.47
2017-08-16,72.58
2017-08-17,70.38
2017-08-18,69.49
2017-08-21,67.57
2017-08-22,68.27
2017-08-23,70.55
2017-08-24,70.59
2017-08-25,69.61
2017-08-28,69.13
2017-08-29,69.47
2017-08-30,70.64
2017-08-31,71.18
2017-09-01,71.08
2017-09-05,69.92
2017-09-06,68.91
2017-09-07,70.12
2017-09-08,68.68
2017-09-11,72.74
2017-09-12,72.55
2017-09-13,73.25
2017-09-14,75.53
2017-09-15,75.96
2017-09-18,77
2017-09-19,75.02
2017-09-20,74.78
2017-09-21,73.3
2017-09-22,70.22
2017-09-25,69
2017-09-26,69.05
2017-09-27,68.19
2017-09-28,67.92
2017-09-29,68.22
2017-10-02,68.31
2017-10-03,69.63
2017-10-04,71
2017-10-05,71.07
2017-10-06,71.38
2017-10-09,68.59
2017-10-10,71.12
2017-10-11,70.92
2017-10-12,71.14
2017-10-13,71.11
2017-10-16,70.12
2017-10-17,71.15
2017-10-18,71.93
2017-10-19,70.36
2017-10-20,69.02
2017-10-23,67.4
2017-10-24,67.47
2017-10-25,65.17
2017-10-26,65.23
2017-10-27,64.17
2017-10-30,64.02
2017-10-31,66.31
2017-11-01,64.22
2017-11-02,59.85
2017-11-03,61.22
2017-11-06,60.56
2017-11-07,61.21
2017-11-08,60.88
2017-11-09,60.6
2017-11-10,60.6
2017-11-13,63.08
2017-11-14,61.74
2017-11-15,62.26
2017-11-16,62.5
2017-11-17,63.01
2017-11-20,61.75
2017-11-21,63.56
2017-11-22,62.52
2017-11-24,63.11
2017-11-27,63.36
2017-11-28,63.51
2017-11-29,61.51
2017-11-30,61.77
2017-12-01,61.31
2017-12-04,61.04
2017-12-05,60.74
2017-12-06,62.65
2017-12-07,62.25
2017-12-08,63.03
2017-12-11,65.78
2017-12-12,68.21
2017-12-13,67.81
2017-12-14,67.58
2017-12-15,68.69
2017-12-18,67.77
2017-12-19,66.22
2017-12-20,65.8
2017-12-21,66.33
2017-12-22,65.04
2017-12-26,63.46
2017-12-27,62.33
2017-12-28,63.07
2017-12-29,62.27
2018-01-02,64.11
2018-01-03,63.45
2018-01-04,62.92
2018-01-05,63.32
2018-01-08,67.28
2018-01-09,66.74
2018-01-10,66.96
2018-01-11,67.59
2018-01-12,67.24
2018-01-16,68.01
2018-01-17,69.43
2018-01-18,68.91
2018-01-19,70
2018-01-22,70.31
2018-01-23,70.56
2018-01-24,69.18
2018-01-25,67.53
2018-01-26,68.57
2018-01-29,69.91
2018-01-30,69.16
2018-01-31,70.86
2018-02-01,69.85
2018-02-02,68.75
2018-02-05,66.63
2018-02-06,66.79
2018-02-07,69
2018-02-08,63.05
2018-02-09,62.08
2018-02-12,63.15
2018-02-13,64.73
2018-02-14,64.46
2018-02-15,66.81
2018-02-16,67.1
2018-02-20,66.95
2018-02-21,66.66
2018-02-22,69.23
2018-02-23,70.41
2018-02-26,71.48
2018-02-27,70.2
2018-02-28,68.61
2018-03-01,66.19
2018-03-02,67.02
2018-03-05,66.67
2018-03-06,65.64
2018-03-07,66.46
2018-03-08,65.82
2018-03-09,65.43
2018-03-12,69.1
2018-03-13,68.37
2018-03-14,65.33
2018-03-15,65.12
2018-03-16,64.27
2018-03-19,62.71
2018-03-20,62.11
2018-03-21,63.31
2018-03-22,61.82
2018-03-23,60.31
2018-03-26,60.84
2018-03-27,55.84
2018-03-28,51.56
2018-03-29,53.23
2018-04-02,50.5
2018-04-03,53.51
2018-04-04,57.39
2018-04-05,61.14
2018-04-06,59.86
2018-04-09,57.93
2018-04-10,60.94
2018-04-11,60.19
2018-04-12,58.82
2018-04-13,60.07
2018-04-16,58.24
2018-04-17,57.54
2018-04-18,58.67
2018-04-19,60.02
2018-04-20,58.05
2018-04-23,56.67
2018-04-24,56.69
2018-04-25,56.14
2018-04-26,57.1
